Date,Open,High,Low,Close,Volume,Symbol,ma_7,ma_30,pct_change
2025-10-23,259.94,260.62,258.0101,259.58,3.275494E7,AAPL,259.095711844308,256.788661702474,0.0
2025-10-23,259.94,260.62,258.0101,259.58,3.275494E7,AAPL,259.2571367536272,257.12999471028644,0.0
2025-10-24,261.19,264.13,259.18,262.82,3.8253716E7,AAPL,259.8814217703683,257.64232838948567,1.25
2025-10-24,261.19,264.13,259.18,262.82,3.8253716E7,AAPL,260.5057067871094,258.1546620686849,0.0
2025-10-24,261.19,264.13,259.18,262.82,3.8253716E7,AAPL,260.96856689453125,258.66699574788413,0.0
2025-10-24,261.19,264.13,259.18,262.82,3.8253716E7,AAPL,261.4314270019531,259.17932942708336,0.0
2025-10-24,261.19,264.13,259.18,262.82,3.8253716E7,AAPL,261.894287109375,259.69166310628253,0.0
2025-10-27,264.88,269.12,264.6501,268.81,4.4888152E7,AAPL,263.2128601074219,260.24232991536456,2.28
2025-10-27,264.88,269.12,264.6501,268.81,4.4888152E7,AAPL,264.53143310546875,260.7929967244466,0.0
2025-10-27,264.88,269.12,264.6501,268.81,4.4888152E7,AAPL,265.38714599609375,261.3436635335286,0.0
2025-10-27,264.88,269.12,264.6501,268.81,4.4888152E7,AAPL,266.24285888671875,261.89433034261066,0.0
2025-10-27,264.88,269.12,264.6501,268.81,4.4888152E7,AAPL,267.09857177734375,262.4449971516927,0.0
2025-10-28,268.985,269.89,268.15,269.0,4.153476E7,AAPL,267.98142787388394,262.6703308105469,0.07
2025-10-28,268.985,269.89,268.15,269.0,4.153476E7,AAPL,268.8642839704241,262.895664469401,0.0
2025-10-28,268.985,269.89,268.15,269.0,4.153476E7,AAPL,268.8914271763393,263.1209981282552,0.0
2025-10-28,268.985,269.89,268.15,269.0,4.153476E7,AAPL,268.9185703822545,263.34633178710936,0.0
2025-10-28,268.985,269.89,268.15,269.0,4.153476E7,AAPL,268.94571358816967,263.57166544596356,0.0
2025-10-29,269.275,271.41,267.11,269.7,5.1086744E7,AAPL,269.07285853794644,263.80266621907555,0.26
2025-10-29,269.275,271.41,267.11,269.7,5.1086744E7,AAPL,269.2000034877232,264.0336669921875,0.0
2025-10-29,269.275,271.41,267.11,269.7,5.1086744E7,AAPL,269.3000052315848,264.26466776529946,0.0
2025-10-29,269.275,271.41,267.11,269.7,5.1086744E7,AAPL,269.40000697544644,264.49566853841145,0.0
2025-10-29,269.275,271.41,267.11,269.7,5.1086744E7,AAPL,269.500008719308,264.72666931152344,0.0
2025-10-30,271.99,274.14,268.48,271.4,6.9886536E7,AAPL,269.8428649902344,265.15833536783856,0.63
2025-10-30,271.99,274.14,268.48,271.4,6.9886536E7,AAPL,270.1857212611607,265.5900014241536,0.0
2025-10-30,271.99,274.14,268.48,271.4,6.9886536E7,AAPL,270.42857578822543,266.02166748046875,0.0
2025-10-30,271.99,274.14,268.48,271.4,6.9886536E7,AAPL,270.6714303152902,266.4533335367839,0.0
2025-10-30,271.99,274.14,268.48,271.4,6.9886536E7,AAPL,270.9142848423549,266.88499959309894,0.0
2025-10-31,276.99,277.32,269.16,270.37,8.616712E7,AAPL,271.00999668666293,267.2446665445963,-0.38
2025-10-31,276.99,277.32,269.16,270.37,8.616712E7,AAPL,271.10570853097096,267.6043334960938,0.0
2025-10-31,276.99,277.32,269.16,270.37,8.616712E7,AAPL,270.9585658482143,267.96400044759116,0.0
2025-10-31,276.99,277.32,269.16,270.37,8.616712E7,AAPL,270.8114231654576,268.32366739908855,0.0
2025-10-31,276.99,277.32,269.16,270.37,8.616712E7,AAPL,270.6642804827009,268.68333435058594,0.0
2025-11-03,270.42,270.85,266.25,269.05,5.0194584E7,AAPL,270.3285653250558,268.89100036621096,-0.49
2025-11-03,270.42,270.85,266.25,269.05,5.0194584E7,AAPL,269.9928501674107,269.0986663818359,0.0
2025-11-03,270.42,270.85,266.25,269.05,5.0194584E7,AAPL,269.8042776925223,269.30633239746095,0.0
2025-11-03,270.42,270.85,266.25,269.05,5.0194584E7,AAPL,269.61570521763394,269.5139984130859,0.0
2025-11-03,270.42,270.85,266.25,269.05,5.0194584E7,AAPL,269.4271327427455,269.72166442871094,0.0
2025-11-04,268.325,271.486,267.615,270.04,4.9274848E7,AAPL,269.37999180385043,269.7626647949219,0.37
2025-11-04,268.325,271.486,267.615,270.04,4.9274848E7,AAPL,269.33285086495533,269.8036651611328,0.0
2025-11-04,268.325,271.486,267.615,270.04,4.9274848E7,AAPL,269.47428240094865,269.84466552734375,0.0
